title,price,rating,total_reviews,product_description,reviews,reviews_rating,Shoe Type,word_count,char_count,title_length,price_length,rating_length,total_reviews_length,product_description_length,reviews_length,reviews_rating_length,Shoe Type_length,text_length,reviews_stemmed,title_stemmed,reviews_lemmatized,title_lemmatized,reviews_sentiment,sentiment_category,sentiment_encoded
clymb outdoor sports running shoes mens boy,,2.9,,Elevate your style with this classy pair of Running Shoe from the house of CLYMB brand. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,happy product expected average product pic beautiful got damage product quality average bad product different listed worst product dont buy low quality makes pain heals sharp edges inside shoes buy anyway,1.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 3.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars,Men,35,222,47,7,18,12,222,297,207,3,297,happi product expect averag product pic beauti got damag product qualiti averag bad product differ list worst product dont buy low qualiti make pain heal sharp edg insid shoe buy anyway,clymb outdoor sport run shoe men boy,happy product expected average product pic beautiful got damage product quality average bad product different listed worst product dont buy low quality make pain heals sharp edge inside shoe buy anyway,clymb outdoor sport running shoe men boy,-0.05749999999999998,Negative,-1
bourge mens loirez running shoes,,3.9,,The product will be an excellent pick for you. It ensures an easy maintenance.,memory cushioning shoes best feature poor quality product best gym n sports must must must buy worth price satisfied please try shoe good heels comfy cushion good lookinggood quality exact fit bit sized awesome amazon awesome,5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars,Men,14,78,37,7,18,13,78,300,207,3,300,memori cushion shoe best featur poor qualiti product best gym n sport must must must buy worth price satisfi pleas tri shoe good heel comfi cushion good lookinggood qualiti exact fit bit size awesom amazon awesom,bourg men loirez run shoe,memory cushioning shoe best feature poor quality product best gym n sport must must must buy worth price satisfied please try shoe good heel comfy cushion good lookinggood quality exact fit bit sized awesome amazon awesome,bourge men loirez running shoe,0.5863636363636364,Positive,1
trock mens sneaker,,3.3,,Flaunt with these stylish and unique red casual shoes as per the latest fashion trend from the house of T-Rock  Brand known for its wide range of men's casual formal sports/running ethnic party wear shoes. This pair is having classic style which will add glamour to your look. These shoes go well with your casual wear. Team it with your casual attire to complete your perfect casual or party look.,worth amount go perfect star itam received worst product please dont buy nice shoes pros cons buy ignore go another option,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars,Men,70,398,20,7,18,12,398,182,207,3,182,worth amount go perfect star itam receiv worst product pleas dont buy nice shoe pro con buy ignor go anoth option,trock men sneaker,worth amount go perfect star itam received worst product please dont buy nice shoe pro con buy ignore go another option,trock men sneaker,0.225,Positive,1
robbie jones sneakers casual canvas fabric colour shoes men boys,,4.2,,Robbie Jones Shoes Are Designed To Keeping In Mind Durability As Well As Trends The Most Stylish Range Of Shoes. They Are Exclusively Designed To Match The Latest Trends Of The New Generation. This Pair Of Shoes Is Sure To Make You Look Smart & Classy. These Will Go With Most Of Your Casual Outfits. This Product Is Made Of Premium Quality And Highly Material. Wearing This Prime Quality Amazing And Cozy Shoe With The Combination Of Jean And T-Shirt. It Presents Standard Look To Your Personality. We Are Always Providing Latest Fashion Shoes For Men's Casual Shoes For Men.,sup quality good expected awesome,5.0 out of 5 stars|| 3.0 out of 5 stars|| 5.0 out of 5 stars,Men,100,576,72,7,18,9,576,49,60,3,49,sup qualiti good expect awesom,robbi jone sneaker casual canva fabric colour shoe men boy,sup quality good expected awesome,robbie jones sneaker casual canvas fabric colour shoe men boy,0.5333333333333333,Positive,1
sparx mens sdg sneakers,,4.2,,Sparx is a spectacular range of footwear from the house of Relaxo Footwears Ltd. a name trusted among millions of people in India and across the world for delivering unmatched quality. Since its inception the company has established a benchmark for bringing the finest range of footwears.  Sparx the most stylish range of shoes sandals and slippers are exclusively designed to match the latest trends of the new generation. Known for its sturdy and stylish designs Sparx is an iconic youth brand for those who dare to explore the world. Sparx is a spectacular range of footwear from the house of Relaxo Footwears Ltd. a name trusted among millions of people in India and across the world for delivering unmatched quality. Since its inception the company has established a benchmark for bringing the finest range of footwears. A perfect combination of comfort style and workmanship Sparx is all about confidence and making a fashion statement. Its flaunting design pattern sparks a cool statement as you take a step ahead in them. ,best satisfied affordable beauty eye catcher economical soft feet good looking shoe however buy one size low must bye puja much variation sizes review days use get pay cheap branded spent x time better one time,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars,Men,171,1030,28,7,18,13,1030,324,207,3,324,best satisfi afford beauti eye catcher econom soft feet good look shoe howev buy one size low must bye puja much variat size review day use get pay cheap brand spent x time better one time,sparx men sdg sneaker,best satisfied affordable beauty eye catcher economical soft foot good looking shoe however buy one size low must bye puja much variation size review day use get pay cheap branded spent x time better one time,sparx men sdg sneaker,0.36,Positive,1
inklenzo white shoes mens daily use,,3.5,,CASUAL SHOES FOR BOYS AND MENS IN WHITE COLOUR,awesome nice product nic fitting poor quality product shoes nice bad fits comfortably comfortable fancy nice,5.0 out of 5 stars|| 4.0 out of 5 stars|| 4.0 out of 5 stars|| 1.0 out of 5 stars|| 2.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 2.0 out of 5 stars,Men,9,46,43,7,18,11,46,133,207,3,133,awesom nice product nic fit poor qualiti product shoe nice bad fit comfort comfort fanci nice,inklenzo white shoe men daili use,awesome nice product nic fitting poor quality product shoe nice bad fit comfortably comfortable fancy nice,inklenzo white shoe men daily use,0.33333333333333337,Positive,1
robbie jones white men casual sneakers shoes men white,,3.3,,Robbie Jones has a vast collection of casual shoes for men. You can explore our range of casual shoes  daily shoes or lifestyle shoes.Take your pick from an array of sports shoes in vibrant colours like red yellow green blue brown black grey olive pink beige and white. Designed for top performance these shoes match the way you play or run. Available in materials like leather canvas suede leather faux leather mesh etc these shoes are lightweight comfortable sturdy and extremely sporty. The sole of all Robbie Jones shoes is designed to provide an increased amount of comfort and the material is good enough to provide an improved fit. These shoes are easy to maintain and last for a really long time given to their durability.,bang buckpaise refund change shoes really good casual ware comfort got one poor quality good product price good quality seller improve serviceas got wrong shoe number soul shoes looks like photo product described vpoor quality,5.0 out of 5 stars|| 1.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 2.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars,Men,126,730,62,7,18,10,730,348,207,3,348,bang buckpais refund chang shoe realli good casual ware comfort got one poor qualiti good product price good qualiti seller improv servicea got wrong shoe number soul shoe look like photo product describ vpoor qualiti,robbi jone white men casual sneaker shoe men white,bang buckpaise refund change shoe really good casual ware comfort got one poor quality good product price good quality seller improve serviceas got wrong shoe number soul shoe look like photo product described vpoor quality,robbie jones white men casual sneaker shoe men white,0.11666666666666663,Positive,1
knoos mens loafer,,3.8,,Elevate your style with this classy pair of Loafer from the house of KNOOS brand. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,think twice ordering amazon poor product dont buy thank knoos amazon good product ossm products buy without thinking nice shoesfits expectedvalue money worst worst worst get better stuff price poor quality buy like low quality shoes,1.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 1.0 out of 5 stars|| 3.0 out of 5 stars|| 1.0 out of 5 stars|| 1.0 out of 5 stars,Men,34,216,18,7,18,12,216,337,207,3,337,think twice order amazon poor product dont buy thank knoo amazon good product ossm product buy without think nice shoesfit expectedvalu money worst worst worst get better stuff price poor qualiti buy like low qualiti shoe,knoo men loafer,think twice ordering amazon poor product dont buy thank knoos amazon good product ossm product buy without thinking nice shoesfits expectedvalue money worst worst worst get better stuff price poor quality buy like low quality shoe,knoos men loafer,-0.2222222222222222,Negative,-1
bata mens bossace uniform dress shoe,,4.1,,Very stylish and comfortable shoes.,material good comfortable nice product comffotable fit superb quality worth money quality comfort yah product mujhe bahut achcha good best bata range nice,5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars|| 5.0 out of 5 stars|| 4.0 out of 5 stars,Men,5,35,38,7,18,10,35,201,207,3,201,materi good comfort nice product comffot fit superb qualiti worth money qualiti comfort yah product mujh bahut achcha good best bata rang nice,bata men bossac uniform dress shoe,material good comfortable nice product comffotable fit superb quality worth money quality comfort yah product mujhe bahut achcha good best bata range nice,bata men bossace uniform dress shoe,0.6333333333333333,Positive,1
road runner mens sneaker shoes,,3.6,,Elevate your style with this classy pair of Sneaker from the house of ROAD RUNNER brand. Featuring a contemporary refined design with exceptional comfort this pair is perfect to give your quintessential dressing an upgrade.,nice comfortable cheat customer erase size number back side shoes,5.0 out of 5 stars|| 1.0 out of 5 stars,Men,35,223,31,7,18,9,223,107,39,3,107,nice comfort cheat custom eras size number back side shoe,road runner men sneaker shoe,nice comfortable cheat customer erase size number back side shoe,road runner men sneaker shoe,0.3333333333333333,Positive,1
